bnf_code,bnf_name,items
23354103863,"Confidence BE soft convex colostomy bag with filter and overlap, standard 13mm-38mm white",720
21300000949,AacuLose Hypromellose 0.5% eye drops,22089
0914041B0BBAAAA,Nutrini Peptisorb liquid,4369
0913081B0BBAAAA,Renastep liquid,1481
1103010ALAAAAAA,Hydrocortisone sodium phos 3.35mg/ml eye dps 0.4ml ud,5940
23150701500,Dansac Skin Lotion cleanser,1803
23960709620,Nova 1 convex urostomy bag 15-24mm,1038
20050600196,Passy-Muir tracheostomy ventilator & swallowing and speaking valve aqua,165
1106000B0AABQBQ,Acetazolamide 250mg/5ml oral suspension,547
0913284A0BBAAAA,Phlexy-Vits powder 7g sachets,2291
0301011V0BBAAAH,Bricanyl 5mg tablets,82
0411000F0AAAEAE,Galantamine 8mg modified-release capsules,7298
22303953130,Clear Advantage Spirit sheath style 3 wideband 28mm,1875
20090000886,Comfifast Easywrap stockinette socks up to 8 years,195
23350703805,NovaLife 1 soft convex colostomy bag midi opaque 25mm,139
20090000459,Elasticated tubular bandage BP 10cm size F,5207
23603456406,"Pelican Platinum with Vitamin E convex ileostomy bag with filter, maxi",623
22302083000,GB Libra latex free sheath standard 24mm,436
0403040W0BNADAM,Venlalic XL 37.5mg tablets,646
0603020T0AABQBQ,Prednisolone 2mg tablets,2872
21020000305,LoFric catheter female non PVC 8Ch-14Ch 15cm,1579
120202000AAANAN,Levomenthol 0.3% ointment,348
20090000966,CliniFast stockinette mittens 8-14 years,44
23600706360,Nova 1 Mini EasiFold ileostomy bag with filter opaque 50mm,1003
21020000739,Folysil X-Tra silicone pre-filled catheter with empty syringe for balloon deflation female 12Ch-18Ch,1632
22303953063,Clear Advantage silicone sheath large,220
0913011D0BCAEAB,Foodlink Complete powder with fibre 63g sachets vanilla,1358
21011200240,"Ring pessary 7.5mm thick, 85-100mm diameter, polythene",971
20031700125,Durafiber dressing 5cm x 5cm square,1044
23940709807,NovaLife 2 two piece ostomy system ileostomy bag midi 43mm opaque,336
22500105006,Sterile leg bag 500ml inlet 10cm,1405
0913181E0BBAAAA,K.Yo semi-solid food 100g pots chocolate,1645
0801030P0AAFPFP,Methotrexate 12.5mg/0.5ml inj pre-filled disposable devices,234
22502655011,LINC-Flo sterile leg bag with T tap 10cm inlet 750ml,575
0704020ACBBABAB,Emselex 15mg modified-release tablets,479
040702040BDAGAT,Zamadol Melt 50mg tablets,1011
1502010J0AAEPEP,Lidocaine 2% gel,602
21270002944,Mobiderm intimate shorts female,236
0403010T0AAAAAA,Mianserin 10mg tablets,443
1001040C0AAAPAP,Allopurinol 100mg/5ml oral solution,356
1302010U0BGAJAW,Eucerin DermoCapillaire Calming urea scalp treatment,904
23944109531,"Harmony Duo two piece ostomy system colostomy bag with filter, standard 13-50mm",419
22302953060,P-Sure sheath 37mm,516
23604106510,"Confidence BE ileostomy bag with filter, large 13-55mm",1478
0501021A0AAAGAG,Cefaclor 375mg modified-release tablets,1564
21010900926,Neria guard subcutaneous drug delivery device 110cm tubing 6mm needle 27gauge,872
23601006374,"SenSura Mio light convex ileostomy bag with filter, maxi 28mm neutral grey",120
23941009353,SenSura Click Xpro two piece ostomy system baseplate 50mm 10-43mm,254
20090001085,Skinnies WEB stockinette round top long sleeve adult,55
1001010I0AAACAC,Flurbiprofen 100mg tablets,749
20030200084,Medihoney Gel Sheet dressing 10cm x 10cm,609
0902021S0AAAQAQ,Sodium chloride 30% solution for injection 10ml ampoules,67
0407020ADBUACAT,Oxyact 5mg tablets,1297
20030300027,L-Mesitran SOFT ointment dressing,163
23605906101,"Pelican ModaVi ileostomy bag with filter, large 15-80mm black",342
23301083141,Fulcionel medium support hernia belt XX large 20cm,45
23350103793,"Moderma Flex convex colostomy bag with filter and SoftFlex skin barrier, maxi 20mm",37
21011500401,Portia ear syringe rubber,248
20020201124,Coban 2 Lite Compression Layer bandage 7.5cm x 3.5m,141
0409010W0BBAJAJ,Mirapexin 1.57mg modified-release tablets,329
20110000482,Dafilon suture 1.5gauge 45cm length with 19mm 3/8 curved reverse cutting needle,380
0409010H0BBADAD,ReQuip 5mg tablets,42
23354103764,"Confidence Supersoft convex colostomy bag with filter, standard 25mm",45
1002010Q0AABKBK,Pyridostigmine bromide 180mg modified-release tablets,86
22902199002,Afex Active male urinal system with large briefs,125
23751027503,Comfishield Set 75mm jet,48
20031500008,Option wound manager bag large 10-50mm,43
23355603800,"Welland FreeStyle Vie colostomy bag with Dual Carb filter, large 38mm clear",21
190500000BBCUA0,Stud 100 Desensitizing Spray for Men,53
20031700291,ActivHeal Aquafiber Extra dressing 5cm x 5cm square,58
23945909433,"Combimate two piece ostomy system colostomy bag with filter, anatomical medium/large 45mm",26
23940709831,NovaLife 2 two piece ostomy system convex 70mm flange 40-59mm,29
20050300320,Shiley uncuffed paediatric tracheostomy tube 45mm length,78
0605010S0AABQBQ,Somatropin (rmc) 6mg/1.03ml inj cartridges,154
1312000G0AAAMAM,Glycopyrronium bromide 1% cream,28
0901030K0AAADAD,Deferasirox 90mg tablets,41
23854108538,Salts stoma collar 20mm,47
21140000033,MediLube sterilised lubricating jelly,27
0403010X0AAAAAA,Trazodone 50mg capsules,484118
040702040AAAAAA,Tramadol 50mg capsules,4445231
040801050AAADAD,Topiramate 25mg tablets,435454
0409010N0AAADAD,Co-careldopa 12.5mg/50mg tablets,308466
0206030Y0AAAAAA,Ivabradine 5mg tablets,338678
0407041Z0AAAAAA,Zolmitriptan 2.5mg tablets,202694
22501005068,Simpla Profile sterile leg bag 500ml tube 25cm,71437
0906040G0DHABDK,"Stexerol-D3 25,000unit tablets",73980
0302000N0BIABBG,Sereflo 25micrograms/dose / 250micrograms/dose inhaler,99301
1106000ADAAABAB,Latanoprost 50mcg/ml / Timolol 5mg/ml eye dps 0.2ml ud PF,65729
21010900913,Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge,10882
0404000S0AAAHAH,Atomoxetine 100mg capsules,10695
22500505053,Spirit sterile leg bag 10cm short tube 500ml,14945
1308010W0AAAAAA,Diclofenac sodium 3% gel,73749
0913011F0BCABAD,Foodlink Complete Compact powder 57g sachets banana,10682
0106050S0BBABAA,Picolax oral powder 16.1g sachets,7910
0407020A0BEABAE,Matrifen 25micrograms/hour transdermal patches,59065
20030900078,Allevyn Gentle Border dressing 10cm x 25cm,855
0803041L0BBAAAA,Femara 2.5mg tablets,4414
0409010W0AAAIAI,Pramipexole 3.15mg modified-release tablets,1967
0601021P0AAABAB,Glipizide 5mg tablets,8662
0301020S0AAAAAA,Glycopyrronium bromide 55microg inhalation pdr caps with dev,15018
0409010Y0BBAAAA,Azilect 1mg tablets,7707
20030100671,365 Transparent Island dressing 7.2cm x 5cm,351
21270000516,Sigvaris Essential Microfibre (15-20mmHg) below knee closed toe,396
0913261E0BBABAE,Promin low protein imitation rice pudding 69g sach original,200
21270001680,Jobst FarrowWrap (30-40mmHg) strong footpiece,1379
1304000F0AAECEC,Coal tar soln 5% in Betamethasone valerate 0.025% oint,211
0404000M0BFABAA,Tranquilyn 10mg tablets,1088
23601006398,"SenSura Mio Concave ileostomy bag with filter, maxi 10-40mm",3000
23604106505,"Confidence Natural Advance ileostomy bag with filter, large 13-90mm",2475
0407020A0BEADAG,Matrifen 75micrograms/hour transdermal patches,18131
0913291A0BCAAAB,FruitiVits oral powder 6g sachets,4299
0208020AABBABAB,Lixiana 30mg tablets,3451
23601006338,"SenSura Soft Seal convex ileostomy bag with dual filter and Hide-Away outlet, midi 15-43mm",230
23603456298,"Pelican Select convex ileostomy bag with filter, standard 25mm clear",355
23351003868,"SenSura Mio deep convex colostomy bag with filter, maxi 15-33mm",2486
0914032B0BDAAAC,Survimed OPD HN liquid,1030
20030900127,Allevyn Gentle Border Lite dressing 10cm x 10cm,2227
23350703873,"NovaLife TRE 1 closed convex colostomy bag with viewing option, midi 15-46mm",386
20050600097,Freevent DualCare HME speaking valve tinted,1030
23600706186,InVent Convex ileostomy bag with filter 15-37mm,114
0402030K0AAAGAG,Lithium carbonate 450mg modified-release tablets,1120
130801000BBNWA0,Anthelios XL cream SPF 50+,113
20030600284,Biatain Ag dressing 5cm x 7cm rectangular,293
20030900030,Mepilex Transfer dressing 15cm x 20cm,746
22502405011,Sterile leg bag 750ml small,31
21280000137,Navina Classic System,258
23600706508,"NovaLife TRE 1 ileostomy bag with viewing option, maxi 15-70/90mm",2216
1104020AEBCAAAA,Verkazia 0.1% eye drops emulsion 0.3ml unit dose,2298
21012600196,AerEase Chamber Spacer with child mask,427
0102000H0AAAMAM,Belladonna medicated plaster 9.5cm x 12.5cm,1010
21012600163,IQoro neuromuscular treatment device adult,508
0906040G0BEACBG,"Solgar Vitamin D3 1,000unit tablets",1805
0601022B0BNAAAS,Meijumet 500mg modified-release tablets,437
0205051Y0BBABAB,Coversyl Arginine 5mg tablets,1182
22301003028,Conveen Security+ Easifit self sealing Urisheath medium,175
22802088003,GB Fix It strap short,491
22800108006,Deluxe leg bag strap small,329
22602406000,Drainable night drainage bag 2 litre (2LNB),1938
23350703663,Nova colostomy bag opaque 35mm,754
0605020E0AABCBC,Desmopressin 20micrograms/5ml oral liquid,39
23944109559,Harmony Duo two piece ostomy system standard wafer with Flexifit 13-50mm,488
23600106278,"Moderma Flex soft convex ileostomy bag with filter and Lock 'n' Roll closure, midi 13-38mm",394
23301023158,Comfizz Level I shallow waistband with silicone grip neutral medium/large,127
130201000BBLXA0,Cuderm moisturising cream,317
23353453560,Pelican Select colostomy bag with filter 20-65mm opaque,26
20031200058,ActiFormCool sheet 20cm x 20cm square,182
131002030BBACAB,Lamisil AT 1% spray,377
1001010J0DHAAAD,Ibucalm 200mg tablets,26
20200000105,DermaSilk body suit 24-36 months,21
0802020G0BFAAAC,Capimune 25mg capsules,197
20031600133,Aquacel Foam dressing (adhesive) 24cm x 21.5cm sacral,271
21270002726,Juzo Adventure MTM non-standard colour for lymphoedema garment,345
23300263420,Suportx Easy Peel ostomy belt medium 26cm skin,60
0913356A0BBAAAA,Anti-Reflux powder,273
23351003814,"SenSura Soft Seal convex colostomy bag with dual filter, maxi soft cover 15-43mm",271
0603020G0AACDCD,Dexamethasone 20mg/5ml oral solution sugar free,51
0309010X0AAALAL,Pholcodine 5mg/5ml linctus sugar free,98
23605606274,"Welland FreeStyle Vie convex ileostomy bag with Dual Carb filter, medium plateau 35mm beige",29
0914011I0BDAAAC,Jevity Advance liquid,359
23350103772,"Moderma Flex soft convex colostomy bag with filter, maxi 13-25mm",82
21010900460,BD SafetyGlide hypod U100 ins syrg ster s/use / patient use 1ml + 12mm safety needle 0.33mm/29gauge,502
22500755002,Non-sterile leg bag 750ml short tube,140
0408010AIBBACAC,Zebinix 50mg/1ml oral suspension,71
0404000D0AAAAAA,Caffeine (base) 50mg tablets,67
0913227B0BBAAAA,TYR Anamix Junior oral powder 36g sachets,103
0212000B0AAAFAF,Atorvastatin 20mg/5ml oral solution,128
23354103798,"Confidence Natural soft convex colostomy bag with filter and overlap, mini 13-38mm",78
23353353672,"Option soft convex colostomy bag with filter, plus 45mm plateau 30mm",91
0205051L0AAAIAI,Lisinopril 2.5mg/5ml oral liquid,96
190605000BBGSCA,Samaritan olive oil,27
20033000315,Actolind w Gel dressing,58
20032500021,Snap cartridge device 125mmHg,107
0409030R0BDAAAE,Emylif 50mg orodispersible films,182
20030900049,Mepilex Border Lite dressing 15cm x 15cm,641
21270000527,Altiven low compression (14-18mmHg) made to measure tights closed toe,21
23355903562,Esteem+ soft convex colostomy bag 50mm plateau 30mm,51
040201030BBABAB,Risperdal 2mg tablets,87
23965909748,"Confidence BE urostomy bag with cover on both sides, standard, starter hole 13mm white",52
0408010X0AABLBL,Vigabatrin 100mg soluble tablets sugar free,27
21270002693,Jobst Elvarex custom fit class 1 (18-21mmHg) capri tights,31
1001010J0AABMBM,Ibuprofen 100mg/5ml oral suspension 5ml sachets sugar free,28
0301011B0BBAAAA,Bambec 10mg tablets,36
0212000B0AAAAAA,Atorvastatin 10mg tablets,6481159
0906040G0BNADCD,Adcal-D3 750mg/200unit caplets,2315395
0102000P0BCAEAD,Colofac MR 200mg capsules,27081
0304030C0BEABA3,"EpiPen 300micrograms/0.3ml (1 in 1,000) inj auto-injectors",271140
0106040M0BGAFAA,CosmoCol Plain oral powder sachets,178699
1404000G0BCACAC,Engerix B 20micrograms/1ml vacc inj pre-filled syringes,36627
0601023ACAAAAAA,Saxagliptin 5mg tablets,90640
1404000H0BXAAAM,Fluad vacc inj 0.5ml pre-filled syringes,44196
1104010S0AABBBB,Prednisolone sodium phosphate 0.5% ear/eye drops,21648
20030900342,Mepilex dressing 20cm x 21cm,336
23850108514,Adapt CeraRing barrier ring 48mm x 4.45mm,16200
0503021C0AAAHAH,Aciclovir 400mg dispersible tablets,27329
1108010H0BBAAAA,Minims artificial tears 0.44% eye drops 0.5ml unit dose,15901
0603020J0AACWCW,Hydrocortisone 20mg modified-release tablets,475
0406000B0BBAAAA,Serc 8mg tablets,6749
1310020N0AAAEAE,Miconazole 0.16% dry powder spray,10580
0204000M0AAABAB,Nadolol 80mg tablets,13758
21010900564,TRUEplus lancets 0.195mm/33gauge,9698
0206010K0CUAAAP,Nyzamac SR 40mg capsules,7048
1001010J0AAAFAF,Ibuprofen 600mg tablets,52724
1003020AAAAABAB,Capsaicin 0.025% cream,31082
1106000P0BBAAAA,Trusopt 20mg/ml eye drops,19955
0401010ADAABYBY,Melatonin 2mg/5ml oral solution,8931
0407041R0BBACAC,Maxalt Melt 10mg oral lyophilisates,31286
0913011M0BCAAAF,Altrajuce Starter Pack liquid,1686
20020200485,Mollelast bandage 4cm x 4m,582
21300000311,PF Drops Sodium Hyaluronate 0.4% eye drops preservative free,13475
0204000H0BFAAAM,Cardicor 1.25mg tablets,6355
23924109201,Urostomy night drainage adaptor,1023
23604806266,Esteem+ Flex convex ileostomy bag 20-43mm,537
23300000092,Suportx shield ostomy belt with Easy Peel fastening made to measure skin,125
23350703854,"NovaLife TRE 1 colostomy bag with viewing option, midi 30-55/70mm",678
20033000376,Mepilex Border Comfort Lite dressing 7.5cm x 7.5cm,5000
23153371503,Clear adhesive remover spray,915
0407020ADBCAEAK,OxyContin 5mg modified-release tablets,4822
0407020Q0BNAAAK,Morphgesic SR 10mg tablets,14650
23600706487,NovaLife TRE 1 ileostomy bag midi 15-55/70mm,2798
0802020T0BCABAN,Advagraf 1mg modified-release capsules,6851
040201030AAAFAF,Risperidone 6mg tablets,9328
0704020J0BCAAAA,Ditropan 2.5mg tablets,11395
23960109834,Moderma Flex convex urostomy bag with CeraPlus skin barrier 13-25mm transparent,1594
0905022T0AAADAD,Lanthanum carbonate 1g oral powder sachets,475
23351003867,"SenSura Mio deep convex colostomy bag with filter, maxi 10-23mm",229
0307000J0AAAHAH,Carbocisteine 250mg/5ml oral solution sugar free,18642
21020000767,2 way foley all silicone catheter male 12Ch-18Ch,1225
23604806234,"Esteem+ ileostomy bag with filter and InvisiClose outlet, standard 20-70mm opaque",1100
23601006385,"SenSura Mio light convex high output ileostomy bag with filter, extra large 10-43mm neutral grey",774
23940709817,NovaLife 2 two piece ostomy system ileostomy bag maxi 55mm clear,111
0205052N0AAAEAE,Losartan 50mg/5ml oral solution,636
23803938000,StoCare Protect barrier film spray,12190
0913261K0BBADAA,Loprofin low protein pasta spaghetti,1561
0408020V0AAAVAV,Midazolam 5mg/0.5ml oromucosal soln pf oral syringes SF,495
21300000166,Lumecare Singles Carmellose 0.5% eye drops 0.4ml unit dose,2782
0906040G0AACJCJ,Colecalciferol 800units/ml oral drops sugar free,210
1304000G0BFADAA,ClobaDerm 0.05% cream (Accord Healthcare),4546
0402010D0AAAFAF,Chlorpromazine 100mg/5ml oral solution,1419
0106010E0AAAUAU,Ispaghula husk 3.5g gran for susp sach GF SF,2846
22300103021,InView sheath standard 25mm,514
23300000046,Suportx shield ostomy belt with Easy Peel fastening small 20cm right shield black,113
0408010G0AABHBH,Gabapentin 400mg/5ml oral suspension,336
0205053A0BBAAAA,Rasilez 150mg tablets,337
091000000BBXRBT,Ocuvite Lutein capsules,2771
21010900624,TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge,7959
21270001161,Haddenham Pertex custom fit class 1 (18-21mmHg) below knee,3664
0408010AHBBABAB,Vimpat 100mg tablets,3610
0408010A0AAAJAJ,Levetiracetam 500mg/5ml solution for infusion vials,1007
20033000097,kliniderm Foam dressing 5cm x 5cm square,460
20050400130,Tracheostomy cannula cleaning swab small,355
21270000864,Sigvaris Essential Thermoregulating class 1 (18-21mmHg) below knee open toe plus,324
23600106320,"Moderma Flex ileo bag + fltr, CeraPlus s/barr, adh bdr & Lock 'n' Roll closure, maxi 30mm beige",84
0906024N0AACYCY,Pyridoxine 100mg/5ml oral suspension,234
0407020Q0AAAIAI,Morphine 60mg modified-release tablets,9513
0702020F0BBAJAJ,Canesten 2% thrush cream,3202
21270000853,Sigvaris Essential Comfortable class 2 (23-32mmHg) panty closed toe,104
21220000260,MyriBase gel,5971
0101012B0AAAPAP,Sodium bicarbonate powder,259
23850708513,Dansac GX-tra Seals 50mm,341
20110000486,Vicryl Plus suture 1.5gauge 45cm length with 19mm curved reverse cutting needle,520
22902409126,Adult plastic bag,76
22300103018,InView sheath special 32mm,625
23944809605,Combihesive Natura two piece ostomy system convex durahesive flange 28mm/45mm,371
21070610120,Compression hosiery class III kneecap circular knit standard stock size,37
1108010AAAAACAC,Ciclosporin 0.2% eye ointment,307
20030100384,Tegaderm + Pad dressing 9cm x 25cm,397
0203020X0BBAAAA,Multaq 400mg tablets,329
23355603907,Welland Aura Profile colostomy bag midi 35mm clear,59
21270002734,Juxta (20-30mmHg) toe cap with compressive toes,440
23355603879,Welland Aura flushable colostomy bag maxi 32mm,165
0502010C0BBAAAA,Sporanox 100mg capsules,26
21020000101,Nelaton catheter male 6Ch-24Ch,167
21270002588,Haddenham Star Cotton MTO footless tights for lymphoedema garment,61
21270000765,Juxta-Fit armsleeve,66
21270001022,Sigvaris MTM Essential Thermoregulatingclass 1 (18-21mmHg) below knee closed toe with grip top,44
22502655022,Panda baby sterile leg bag direct tube 200ml,48
